brand,stars,reviewsCount,Category,price/value
Bang & Olufsen,4.4,3029.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,22500.0
AKAI,3.7,86.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,5950.0
Ultimate Ears,4.6,8864.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,6995.0
HP,2.5,26.0,Computers & Accessories › Laptops › Traditional Laptops,18196.0
Dell,3.6,61.0,Computers & Accessories › Laptops › Traditional Laptops,57490.0
TOSHIBA,3.9,99.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",54990.0
WD_Black,4.6,54.0,Computers & Accessories › External Devices & Data Storage › External Hard Disks,19261.0
BoAt,4.1,391673.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",349.0
HP,4.5,70.0,Computers & Accessories › Laptops › Traditional Laptops,92999.0
MSI,5.0,8.0,Computers & Accessories › Monitors,86999.0
Artis,4.2,4.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,8499.0
Generic,2.6,547.0,Electronics › Wearable Technology › Smart Watches,270.0
Meyaar,4.2,1288.0,"Electronics › Headphones, Earbuds & Accessories › Cases",470.0
Lenovo,4.1,169.0,Computers & Accessories › Laptops › Traditional Laptops,37990.0
Kelvinator,4.0,57.0,Home & Kitchen › Large Appliances › Refrigerators,9290.0
Mabron,5.0,1.0,Toys & Games › Electronic Toys › Handheld Games,919.0
AYL,3.5,784.0,Electronics › Wearable Technology › Smart Watches,449.0
Green Soul,4.1,32.0,Home & Kitchen › Furniture › Study & Home Office Furniture › Desks & Workstations › Desks,25999.0
Morphy Richards,4.3,698.0,Home & Kitchen › Kitchen & Dining › Kitchen Storage & Containers › Microwave Sets,10990.0
Sony,4.6,49875.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",19990.0
Sameo,3.1,4.0,Video Games › Legacy Systems › PlayStation Systems › PlayStation 2 › Games,1799.0
Redmi,3.1,611.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,19999.0
Nokia,3.1,1488.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,5899.0
HP,4.1,114.0,Computers & Accessories › Laptops › Traditional Laptops,18500.0
Mabron,3.4,8.0,Toys & Games › Electronic Toys › Handheld Games,919.0
HiFiMAN,4.4,732.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",11999.0
Haier,4.2,5046.0,Home & Kitchen › Large Appliances › Refrigerators,14790.0
Razer,4.3,319.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,12195.0
Dell,3.9,101.0,Computers & Accessories › Laptops › Traditional Laptops,52716.0
Hammer,3.8,1815.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2099.0
Sony,4.8,119.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",66490.0
New World,2.9,2.0,Video Games › Legacy Systems › Nintendo Systems › Nintendo 3DS › Consoles,6499.0
